amfi_code,VaR_95,CVaR_95,VaR_95_pct,CVaR_95_pct
119599,-0.026859435149613815,-0.03238412245049217,-2.6859435149613815,-3.238412245049217
119095,-0.02618842440959034,-0.03166729360598028,-2.618842440959034,-3.166729360598028
101207,-0.026021248221061066,-0.03245905898704435,-2.6021248221061066,-3.245905898704435
118634,-0.0254381114589631,-0.032304072697818535,-2.54381114589631,-3.2304072697818533
119598,-0.0245070519056771,-0.03059526410880242,-2.45070519056771,-3.059526410880242
149324,-0.02348306938677715,-0.03103625202188441,-2.348306938677715,-3.103625202188441
102886,-0.019220283444265022,-0.023250860269221213,-1.9220283444265023,-2.325086026922121
100033,-0.01903353586155882,-0.023455762770703794,-1.9033535861558821,-2.3455762770703794
120505,-0.018891786198692737,-0.02434207039551981,-1.8891786198692737,-2.434207039551981
119094,-0.018480276243938304,-0.02426005947837057,-1.8480276243938305,-2.426005947837057
125498,-0.018365320169601015,-0.02309379305316794,-1.8365320169601014,-2.309379305316794
120842,-0.018218530452556076,-0.02272497526268088,-1.8218530452556077,-2.2724975262680878
149323,-0.017882076201903466,-0.02260664210042033,-1.7882076201903467,-2.2606642100420333
148569,-0.017118192655621135,-0.021328305810328105,-1.7118192655621134,-2.1328305810328105
102887,-0.01523161727915787,-0.019411182679158694,-1.523161727915787,-1.9411182679158694
148568,-0.014711531333512792,-0.01876476958423089,-1.4711531333512793,-1.876476958423089
125497,-0.014591769071140459,-0.018309885328057912,-1.459176907114046,-1.830988532805791
120843,-0.014507941385630472,-0.018381077688017156,-1.4507941385630472,-1.8381077688017156
149322,-0.01447385198379274,-0.018401747612732604,-1.447385198379274,-1.8401747612732604
120506,-0.01438846289908091,-0.01940489860249691,-1.438846289908091,-1.940489860249691
100016,-0.01436363998811114,-0.01806020763217176,-1.436363998811114,-1.806020763217176
119093,-0.014225516634796051,-0.01748670974901306,-1.4225516634796052,-1.7486709749013059
118632,-0.013954045870018117,-0.017618579320162156,-1.3954045870018117,-1.7618579320162155
119092,-0.013749592076363806,-0.017327870956436054,-1.3749592076363806,-1.7327870956436053
120504,-0.01372819329593977,-0.017494143685606606,-1.372819329593977,-1.7494143685606607
148567,-0.01355977641751056,-0.017622879905822203,-1.355977641751056,-1.7622879905822204
120503,-0.013550017162503479,-0.01745055416552432,-1.3550017162503478,-1.745055416552432
119552,-0.01350097047993508,-0.017335699664199813,-1.3500970479935082,-1.7335699664199813
118633,-0.01344252514302424,-0.016630178254004827,-1.344252514302424,-1.6630178254004826
101206,-0.013281661986281489,-0.017439425687129195,-1.328166198628149,-1.7439425687129195
120841,-0.013141782186804063,-0.01636273661834337,-1.3141782186804063,-1.636273661834337
119551,-0.01284622862884257,-0.01639680693408763,-1.2846228628842569,-1.639680693408763
102885,-0.012612628820693559,-0.01549040525311211,-1.2612628820693559,-1.549040525311211
118635,-0.012553697284754658,-0.01617696049480912,-1.255369728475466,-1.617696049480912
119120,-0.003938283121850804,-0.005013693153022244,-0.39382831218508035,-0.5013693153022244
118636,-0.0038041460689443463,-0.004918918420478294,-0.3804146068944346,-0.49189184204782943
100025,-0.0037932461995226815,-0.004993763020560281,-0.3793246199522681,-0.4993763020560281
120844,-0.0002847927282355608,-0.00041099591933232505,-0.02847927282355608,-0.0410995919332325
101208,-0.0002686575130400157,-0.0004220820655857685,-0.026865751304001567,-0.04220820655857685
120507,-0.0002215735138934471,-0.00037258039979649643,-0.02215735138934471,-0.037258039979649646
