amfi_code,cagr_3yr,sharpe_ratio,alpha,expense_ratio_pct,max_drawdown_pct,rank_return,rank_sharpe,rank_alpha,rank_expense,rank_maxdd,score_return,score_sharpe,score_alpha,score_expense,score_maxdd,fund_scorecard
148567,0.33991970400445304,1.4482911703262595,0.2698375144191807,1.46,-0.11265729075028275,2.0,1.0,7.0,23.0,8.0,97.43589743589743,100.0,84.61538461538461,43.58974358974359,82.05128205128206,85.89743589743588
120505,0.3176924285223732,1.1801011976606495,0.2926358334175106,1.36,-0.18188513572116294,5.0,5.0,3.0,15.0,25.0,89.74358974358974,89.74358974358974,94.87179487179488,64.1025641025641,38.46153846153846,81.79487179487178
120843,0.2957511058901836,1.3067439695428407,0.27330465038306057,1.45,-0.1297396816518679,7.0,2.0,5.0,22.0,13.0,84.61538461538461,97.43589743589743,89.74358974358974,46.15384615384615,69.23076923076923,81.53846153846152
100033,0.3243397122906222,1.0936987435346308,0.2719535450128533,1.38,-0.16217208574644848,4.0,7.0,6.0,17.0,20.0,92.3076923076923,84.61538461538461,87.17948717948718,58.97435897435897,51.282051282051285,80.25641025641023
120504,0.32478927222623,1.0265242847993004,0.2119482701352573,0.8,-0.12588275606922517,3.0,10.0,13.0,12.0,12.0,94.87179487179488,76.92307692307692,69.23076923076923,71.7948717948718,71.7948717948718,79.48717948717949
119094,0.35102527889035406,0.9982309868636414,0.2607666908004223,1.38,-0.20960883862039192,1.0,11.0,9.0,17.0,28.0,100.0,74.35897435897436,79.48717948717949,58.97435897435897,30.76923076923077,76.41025641025641
119551,0.3044861306002782,1.2082665673727175,0.23201007160635082,1.54,-0.1501238549864533,6.0,4.0,10.0,30.5,17.0,87.17948717948718,92.3076923076923,76.92307692307692,24.358974358974358,58.97435897435897,74.16666666666667
148569,0.2917135767741186,1.2349300257743296,0.2827036785246582,1.6,-0.1639674294693263,8.0,3.0,4.0,36.5,21.0,82.05128205128206,94.87179487179488,92.3076923076923,8.974358974358974,48.717948717948715,73.01282051282051
101206,0.28960211096593724,1.0272133278753697,0.21399784776051212,1.6,-0.11291596329323073,9.0,9.0,12.0,36.5,9.0,79.48717948717949,79.48717948717949,71.7948717948718,8.974358974358974,79.48717948717949,67.37179487179486
119598,0.2666309129954312,0.9453082575156093,0.3033696538698332,1.43,-0.2870600572176455,12.0,14.0,1.0,21.0,36.0,71.7948717948718,66.66666666666667,100.0,48.717948717948715,10.256410256410257,66.53846153846153
149323,0.26863103668817145,1.1321218524747245,0.26598577542043045,1.61,-0.17248105753451382,11.0,6.0,8.0,38.0,22.0,74.35897435897436,87.17948717948718,82.05128205128206,5.128205128205129,46.15384615384615,65.8974358974359
149324,0.2699350260734621,0.9497958246616031,0.3005787817097677,1.52,-0.31171900300634214,10.0,13.0,2.0,26.5,37.0,76.92307692307692,69.23076923076923,97.43589743589743,34.61538461538461,7.6923076923076925,65.83333333333334
118632,0.22646647456747715,1.0816591793457044,0.21829397904608644,1.51,-0.17414075086657232,14.0,8.0,11.0,24.5,23.0,66.66666666666667,82.05128205128206,74.35897435897436,39.743589743589745,43.58974358974359,65.7051282051282
119552,0.16263375081360643,0.9532794968660103,0.1986859936686296,0.66,-0.11803493502764295,23.0,12.0,15.0,4.0,11.0,43.58974358974359,71.7948717948718,64.1025641025641,92.3076923076923,74.35897435897436,65.12820512820512
125497,0.18429918008610047,0.7757902498211207,0.17729754927531766,0.92,-0.15200013055606398,19.0,18.0,16.0,14.0,18.0,53.84615384615385,56.41025641025641,61.53846153846154,66.66666666666667,56.41025641025641,58.205128205128204
118635,0.2000321571698329,0.6648569985490619,0.1513635464823924,0.89,-0.1165062450540909,17.0,19.0,23.0,13.0,10.0,58.97435897435897,53.84615384615385,43.58974358974359,69.23076923076923,76.92307692307692,57.948717948717956
118633,0.21084691029380598,0.6452074382933215,0.15643835948169668,0.72,-0.18629743138595511,15.0,21.0,22.0,5.5,26.0,64.1025641025641,48.717948717948715,46.15384615384615,88.46153846153847,35.8974358974359,57.5
102885,0.19662361245910964,0.8170993373494368,0.17048756803412696,1.57,-0.1085986215250232,18.0,16.0,19.0,34.0,7.0,56.41025641025641,61.53846153846154,53.84615384615385,15.384615384615385,84.61538461538461,53.84615384615385
120503,0.13974980348212673,0.7979728586052847,0.17703302365844073,1.42,-0.13897862823061635,25.0,17.0,17.0,20.0,14.0,38.46153846153846,58.97435897435897,58.97435897435897,51.282051282051285,66.66666666666667,52.435897435897445
148568,0.14744434832760533,0.9262873467360146,0.20873010086942337,1.52,-0.1527259422823477,24.0,15.0,14.0,26.5,19.0,41.02564102564103,64.1025641025641,66.66666666666667,34.61538461538461,53.84615384615385,52.24358974358975
120506,0.18417429266835228,0.6488787755249532,0.1625385327998104,1.41,-0.1982565826298267,20.0,20.0,20.0,19.0,27.0,51.282051282051285,51.282051282051285,51.282051282051285,53.84615384615385,33.333333333333336,49.87179487179487
120507,0.07392538786263403,0.4957233929533124,0.06746210411099539,0.74,-0.0009773140045925555,29.0,23.0,31.0,7.0,1.0,28.205128205128204,43.58974358974359,23.076923076923077,84.61538461538461,100.0,46.666666666666664
119093,0.20811559826631898,0.12961449795669325,0.08232801295222093,0.75,-0.21751396370148224,16.0,29.0,28.0,8.0,31.0,61.53846153846154,28.205128205128204,30.76923076923077,82.05128205128206,23.076923076923077,46.28205128205128
102887,0.25549670172502026,0.6195175900829828,0.16211256794033255,1.64,-0.21539827112383225,13.0,22.0,21.0,39.5,30.0,69.23076923076923,46.15384615384615,48.717948717948715,1.2820512820512822,25.641025641025642,44.80769230769231
149322,0.1803973982038829,0.4640374492204777,0.13173190226099432,1.54,-0.14844576917771746,21.0,25.0,24.0,30.5,16.0,48.717948717948715,38.46153846153846,41.02564102564103,24.358974358974358,61.53846153846154,42.24358974358974
125498,0.11242518737374207,0.3006119210425478,0.11989100971217971,0.78,-0.21117279560132118,26.0,27.0,26.0,10.0,29.0,35.8974358974359,33.333333333333336,35.8974358974359,76.92307692307692,28.205128205128204,40.641025641025635
120844,0.06694394239074852,-0.08874729621557331,0.06455677495375998,0.6,-0.0011629327956168556,30.0,34.0,32.0,3.0,2.0,25.641025641025642,15.384615384615385,20.512820512820515,94.87179487179488,97.43589743589743,39.61538461538462
120841,0.1726301444443794,0.49427253786723496,0.13042924450705445,1.59,-0.1757361416468729,22.0,24.0,25.0,35.0,24.0,46.15384615384615,41.02564102564103,38.46153846153846,12.820512820512821,41.02564102564103,37.82051282051282
118634,0.080060298597036,0.4484340089089914,0.1750072167561127,1.53,-0.2334488614483311,27.0,26.0,18.0,28.5,32.0,33.333333333333336,35.8974358974359,56.41025641025641,29.487179487179485,20.512820512820515,36.730769230769226
118636,0.04061259859840338,-0.356629507514368,0.05074772999976104,0.55,-0.08316361763638702,33.0,38.0,35.0,1.0,6.0,17.94871794871795,5.128205128205129,12.820512820512821,100.0,87.17948717948718,32.94871794871795
119120,0.05838988442093762,-0.22657538662791596,0.05620895216638369,0.77,-0.04328728923970093,32.0,37.0,34.0,9.0,5.0,20.512820512820515,7.6923076923076925,15.384615384615385,79.48717948717949,89.74358974358974,32.05128205128205
